id,created_at,content,url,media,replies_count,reblogs_count,favourites_count
117063164025384663,2026-08-09T02:22:06.853Z,,https://truthsocial.com/@realDonaldTrump/117063164025384663,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/063/163/883/129/141/original/7e3eba193d53f8ae.jpg,345,2796,14294
117063163593295206,2026-08-09T02:22:00.260Z,,https://truthsocial.com/@realDonaldTrump/117063163593295206,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/063/163/278/054/694/original/f99e14baee2ea1bf.jpg,296,2487,13009
117063162955258981,2026-08-09T02:21:50.524Z,,https://truthsocial.com/@realDonaldTrump/117063162955258981,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/063/162/698/569/138/original/efddbaf8bc1b5330.jpg,2257,4573,17120
117063162328917337,2026-08-09T02:21:40.967Z,,https://truthsocial.com/@realDonaldTrump/117063162328917337,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/063/162/166/932/429/original/349416d916733de3.jpg,926,2891,15099
117063161789642512,2026-08-09T02:21:32.738Z,,https://truthsocial.com/@realDonaldTrump/117063161789642512,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/063/161/603/895/902/original/f94bca20193a777b.jpg,356,3015,14509
117063161687061697,2026-08-09T02:21:31.173Z,,https://truthsocial.com/@realDonaldTrump/117063161687061697,https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/117/063/160/990/078/366/original/0a21ed5b3bc8d1e7.jpg,640,3174,16040
117063159545723427,2026-08-09T02:20:58.497Z,Trump's Vegas Visit Hammers Tax Wins: https://townhall.com/news/cameron-arcand/2026/08/05/trumps-vegas-hit-hammers-tax-wins-n2680764,https://truthsocial.com/@realDonaldTrump/117063159545723427,,195,2434,11706
117063158411074182,2026-08-09T02:20:41.184Z,"Jobless Claims Remain Below 200,000 For Third Straight WeekâFirst Time in 57 Years: https://www.breitbart.com/economy/2026/08/06/jobless-claims-remain-below-200000-for-third-straight-week-for-first-time-in-57-years/",https://truthsocial.com/@realDonaldTrump/117063158411074182,,378,2886,12391
117063157165945336,2026-08-09T02:20:22.185Z,Trump: US Has 'Massive' Amounts of Munitions: https://www.newsmax.com/politics/donald-trump-munitions-shortages/2026/08/06/id/1265250/,https://truthsocial.com/@realDonaldTrump/117063157165945336,,486,2557,11765
117063156331577591,2026-08-09T02:20:09.454Z,Trump to host more than 120 Team USA Winter Olympians and Paralympians: https://www.usatoday.com/story/news/politics/2026/08/06/trump-hosts-winter-olympians-paralympians-white-house-rose-garden/91189071007/,https://truthsocial.com/@realDonaldTrump/117063156331577591,,179,2202,11217
